"","title","artist","top.genre","bpm","nrgy","dnce","live","val","dur","acous","spch","pop","country"
"1","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"world"
"2","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"world"
"3","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"world"
"4","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"world"
"5","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"world"
"6","everything i wanted","Billie Eilish","electropop",120,23,70,11,24,245,90,10,98,"world"
"7","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"world"
"8","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"world"
"9","Don't Start Now","Dua Lipa","dance pop",124,79,79,10,68,183,1,8,97,"world"
"10","Tusa","KAROL G","latin",101,72,80,6,57,201,30,30,96,"world"
"11","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"world"
"12","Someone You Loved","Lewis Capaldi","pop",110,41,50,11,45,182,75,3,96,"world"
"13","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"world"
"14","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"world"
"15","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"world"
"16","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"world"
"17","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"world"
"18","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"world"
"19","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"world"
"20","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"world"
"21","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",79,21,32,14,21,192,92,3,89,"world"
"22","White Christmas","Bing Crosby","adult standards",131,16,32,34,25,177,67,4,89,"world"
"23","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",134,24,45,18,70,117,91,4,89,"world"
"24","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"world"
"25","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"world"
"26","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"world"
"27","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",113,28,73,12,72,156,76,6,88,"world"
"28","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",129,84,67,11,84,126,61,3,88,"world"
"29","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",127,78,57,11,70,153,2,3,88,"world"
"30","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"world"
"31","Blue Christmas","Elvis Presley","adult standards",95,27,47,14,58,129,90,4,87,"world"
"32","Run Rudolph Run - Single Version","Chuck Berry","blues rock",152,72,68,8,96,166,81,9,87,"world"
"33","Step Into Christmas","Elton John","glam rock",140,93,53,31,82,272,10,4,87,"world"
"34","Christmas Lights","Coldplay","permanent wave",131,42,31,8,24,242,13,3,87,"world"
"35","Santa Baby","Ariana Grande","dance pop",96,78,75,28,77,171,5,14,87,"world"
"36","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",119,65,32,24,47,272,50,3,86,"world"
"37","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",140,67,36,73,41,268,36,5,86,"world"
"38","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"world"
"39","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"world"
"40","Santa Claus Is Coming To Town","The Jackson 5","adult standards",147,76,69,18,96,144,42,3,85,"world"
"41","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"world"
"42","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",129,71,58,82,61,181,26,5,84,"world"
"43","My Only Wish (This Year)","Britney Spears","dance pop",147,73,67,20,68,255,23,3,84,"world"
"44","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",140,37,67,10,86,133,59,3,83,"world"
"45","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",180,58,51,18,87,242,36,4,83,"world"
"46","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"world"
"47","Christmas (Baby Please Come Home)","Darlene Love","adult standards",126,76,34,8,36,166,39,5,82,"world"
"48","Sleigh Ride","The Ronettes","adult standards",92,77,53,32,85,181,40,3,77,"world"
"49","Santa Claus Is Coming to Town","Michael Bubl�","adult standards",123,40,59,4,42,172,79,5,75,"world"
"50","Merry Christmas Everyone","Shakin' Stevens","new wave pop",102,71,76,8,96,224,16,3,69,"world"
"51","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"africa"
"52","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"africa"
"53","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"africa"
"54","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"africa"
"55","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"africa"
"56","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"africa"
"57","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"africa"
"58","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"africa"
"59","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"africa"
"60","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"africa"
"61","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"africa"
"62","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"africa"
"63","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"africa"
"64","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",79,21,32,14,21,192,92,3,89,"africa"
"65","White Christmas","Bing Crosby","adult standards",131,16,32,34,25,177,67,4,89,"africa"
"66","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",134,24,45,18,70,117,91,4,89,"africa"
"67","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"africa"
"68","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"africa"
"69","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"africa"
"70","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",113,28,73,12,72,156,76,6,88,"africa"
"71","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",127,78,57,11,70,153,2,3,88,"africa"
"72","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",129,84,67,11,84,126,61,3,88,"africa"
"73","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"africa"
"74","Blue Christmas","Elvis Presley","adult standards",95,27,47,14,58,129,90,4,87,"africa"
"75","Santa Baby","Ariana Grande","dance pop",96,78,75,28,77,171,5,14,87,"africa"
"76","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",140,67,36,73,41,268,36,5,86,"africa"
"77","Beautiful People (feat. Khalid)","Ed Sheeran","pop",93,65,64,8,55,198,12,19,86,"africa"
"78","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"africa"
"79","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"africa"
"80","Santa Claus Is Coming To Town","The Jackson 5","adult standards",147,76,69,18,96,144,42,3,85,"africa"
"81","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"africa"
"82","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",140,37,67,10,86,133,59,3,83,"africa"
"83","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"africa"
"84","Christmas (Baby Please Come Home)","Darlene Love","adult standards",126,76,34,8,36,166,39,5,82,"africa"
"85","I'll Be Home for Christmas","Michael Bubl�","adult standards",82,11,25,16,15,268,94,3,78,"africa"
"86","Sleigh Ride","The Ronettes","adult standards",92,77,53,32,85,181,40,3,77,"africa"
"87","Santa Claus Is Coming to Town","Michael Bubl�","adult standards",123,40,59,4,42,172,79,5,75,"africa"
"88","Merry Christmas Everyone","Shakin' Stevens","new wave pop",102,71,76,8,96,224,16,3,69,"africa"
"89","Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha","afro house",113,39,85,5,45,444,1,6,53,"africa"
"90","Labantwana Ama Uber","Semi Tee","amapiano",112,62,87,5,53,384,4,8,52,"africa"
"91","Nana Thula","Kabza De Small","afro house",114,52,77,4,59,439,0,5,52,"africa"
"92","Vula Vala","DJ Maphorisa","afro house",113,59,91,8,14,374,2,6,52,"africa"
"93","Umlilo","DJ Zinhle","kwaito",125,70,70,8,62,237,27,3,52,"africa"
"94","Jerusalem","Master KG","kwaito house",124,47,88,6,84,343,2,5,51,"africa"
"95","Lorch","Kabza De Small","afro house",113,68,91,7,41,375,17,6,50,"africa"
"96","Sukendleleni","Jobe London","afro house",112,72,88,5,24,415,5,5,50,"africa"
"97","Fire","DJ Big Sky",NA,114,56,65,5,64,463,2,21,47,"africa"
"98","Akulaleki","Samthing Soweto","afro house",116,67,90,6,34,382,14,9,45,"africa"
"99","Sandton","Kabza De Small","afro house",113,63,88,10,59,412,15,15,45,"africa"
"100","Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)","Mfr Souls","afro house",115,68,82,6,68,353,5,5,37,"africa"
"101","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"argentina"
"102","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"argentina"
"103","Tusa","KAROL G","latin",101,72,80,6,57,201,30,30,96,"argentina"
"104","China","Anuel AA","latin",105,81,79,8,61,302,8,9,94,"argentina"
"105","Vete","Bad Bunny","latin",92,67,89,10,53,192,4,19,94,"argentina"
"106","Fantasias","Rauw Alejandro","latin",94,70,88,6,79,200,14,7,93,"argentina"
"107","LA CANCI�N","J Balvin","latin",176,65,75,11,43,243,15,32,93,"argentina"
"108","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",80,84,73,18,62,271,2,7,92,"argentina"
"109","Callaita","Bad Bunny","latin",176,62,61,24,24,251,60,31,92,"argentina"
"110","Que Tire Pa Lante","Daddy Yankee","latin",94,90,66,12,71,211,5,4,91,"argentina"
"111","Whine Up","Nicky Jam","latin",105,67,82,10,66,215,5,8,91,"argentina"
"112","Tutu","Camilo","colombian pop",146,83,73,7,94,179,27,5,90,"argentina"
"113","Quizas","Rich Music LTD","reggaeton",176,82,73,23,68,216,3,15,90,"argentina"
"114","Si Te Vas","Sech","panamanian pop",174,64,73,14,55,205,9,13,90,"argentina"
"115","Aventura","Lunay","latin",92,73,73,10,88,217,22,4,90,"argentina"
"116","Yo x Ti, Tu x Mi","ROSAL�A","r&b en espanol",92,76,78,14,58,201,46,23,90,"argentina"
"117","Indeciso","Reik","latin",95,75,74,11,90,217,18,5,90,"argentina"
"118","Hola - Remix","Dalex","latin",182,67,65,8,34,250,47,31,89,"argentina"
"119","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"argentina"
"120","DJ No Pare (feat. Zion, Dalex, Lenny Tav�rez) - Remix","Justin Quiles","latin",170,71,74,8,83,259,5,9,88,"argentina"
"121","No Me Conoce - Remix","Jhay Cortez","latin",92,79,81,9,58,309,14,7,88,"argentina"
"122","Con Altura","ROSAL�A","r&b en espanol",98,69,88,5,75,162,39,12,88,"argentina"
"123","Otro Trago - Remix","Sech","panamanian pop",176,79,73,6,76,288,7,20,88,"argentina"
"124","Con Calma","Daddy Yankee","latin",94,86,74,6,66,193,11,6,88,"argentina"
"125","0.95833333333333337","Maluma","latin",96,71,78,9,68,176,22,28,88,"argentina"
"126","Bellaquita - Remix","Dalex","latin",166,72,80,18,76,305,14,8,87,"argentina"
"127","Calma - Remix","Pedro Cap�","latin",127,77,83,14,76,238,32,5,87,"argentina"
"128","Blanco","J Balvin","latin",100,71,87,9,59,146,3,13,87,"argentina"
"129","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow","latin",88,65,75,11,48,233,11,7,85,"argentina"
"130","Fresa","TINI","latin pop",96,87,78,10,86,166,22,9,83,"argentina"
"131","Perreo en La Luna","Rich Music LTD","reggaeton",174,76,71,37,72,219,27,29,83,"argentina"
"132","Sigues Con El","Dimelo Flow","latin",88,67,88,7,68,227,11,11,83,"argentina"
"133","Oye","TINI","latin pop",95,51,68,18,26,173,45,6,83,"argentina"
"134","Soltera - Remix","Lunay","latin",92,78,80,44,80,266,36,4,80,"argentina"
"135","Tal Vez","Paulo Londra","argentine hip hop",162,65,86,8,74,264,25,15,80,"argentina"
"136","22","TINI","latin pop",176,64,70,9,81,159,1,9,76,"argentina"
"137","Ya No Mas","Fer Palacio",NA,100,68,80,7,88,158,14,6,75,"argentina"
"138","Goteo","Duki","argentine hip hop",108,78,47,19,44,164,19,4,73,"argentina"
"139","CANGURO","WOS","argentine indie",164,75,60,67,93,197,17,33,73,"argentina"
"140","C90 - Remix","John C","argentine hip hop",123,76,87,7,61,316,34,9,72,"argentina"
"141","C�mo est�s","Ke Personajes","cumbia pop",135,86,59,4,98,227,29,6,72,"argentina"
"142","Me Vas a Extra�ar - En Vivo","Damas Gratis","cumbia villera",88,81,42,70,64,239,32,4,71,"argentina"
"143","No Te Creas Tan Importante - En Vivo","Damas Gratis","cumbia villera",175,76,30,88,67,240,20,4,70,"argentina"
"144","Soy Sabalero","Los Palmeras","argentine rock",132,85,78,8,85,180,8,6,68,"argentina"
"145","No Dijeron Nada","Oscu","trap argentino",115,71,70,51,91,187,8,5,68,"argentina"
"146","Una Cerveza","Rafaga","cumbia chilena",98,91,75,9,76,241,32,5,67,"argentina"
"147","Olv�dala","Los Palmeras","argentine rock",132,69,77,27,52,290,31,5,65,"argentina"
"148","Ocho Cuarenta","Rodrigo","argentine rock",148,70,61,30,85,355,8,3,64,"argentina"
"149","El Bomb�n","Los Palmeras","argentine rock",164,77,74,8,87,204,20,6,63,"argentina"
"150","La Cola","Los Palmeras","argentine rock",93,79,78,12,87,169,36,6,63,"argentina"
"151","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"australia"
"152","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"australia"
"153","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"australia"
"154","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"australia"
"155","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"australia"
"156","Don't Start Now","Dua Lipa","dance pop",124,79,79,10,68,183,1,8,97,"australia"
"157","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"australia"
"158","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"australia"
"159","Ride It","Regard","pop edm",118,75,88,11,88,158,18,9,95,"australia"
"160","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"australia"
"161","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"australia"
"162","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"australia"
"163","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"australia"
"164","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"australia"
"165","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"australia"
"166","White Christmas","Bing Crosby","adult standards",131,16,32,34,25,177,67,4,89,"australia"
"167","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",79,21,32,14,21,192,92,3,89,"australia"
"168","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"australia"
"169","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",129,84,67,11,84,126,61,3,88,"australia"
"170","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"australia"
"171","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"australia"
"172","Step Into Christmas","Elton John","glam rock",140,93,53,31,82,272,10,4,87,"australia"
"173","Run Rudolph Run - Single Version","Chuck Berry","blues rock",152,72,68,8,96,166,81,9,87,"australia"
"174","Christmas Lights","Coldplay","permanent wave",131,42,31,8,24,242,13,3,87,"australia"
"175","Blue Christmas","Elvis Presley","adult standards",95,27,47,14,58,129,90,4,87,"australia"
"176","Adore You","Harry Styles","dance pop",99,77,68,10,57,207,2,5,87,"australia"
"177","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",119,65,32,24,47,272,50,3,86,"australia"
"178","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"australia"
"179","Santa Claus Is Coming To Town","The Jackson 5","adult standards",147,76,69,18,96,144,42,3,85,"australia"
"180","Winter Wonderland","Tony Bennett","adult standards",115,37,45,8,63,134,83,4,85,"australia"
"181","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"australia"
"182","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",180,58,51,18,87,242,36,4,83,"australia"
"183","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",140,37,67,10,86,133,59,3,83,"australia"
"184","Little Saint Nick - 1991 Remix","The Beach Boys","baroque pop",131,55,60,5,97,119,11,3,83,"australia"
"185","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"australia"
"186","Baby It's Cold Outside (duet with Michael Bubl�)","Idina Menzel","hollywood",113,48,55,28,56,166,65,6,81,"australia"
"187","Never Seen The Rain","Tones and I","australian pop",92,46,67,28,27,201,43,4,81,"australia"
"188","What Christmas Means To Me","Stevie Wonder","adult standards",167,54,48,8,82,147,24,4,80,"australia"
"189","Thank God It's Christmas - Non-Album Single","Queen","glam rock",83,42,30,23,34,262,21,3,80,"australia"
"190","Rockin' Around the Christmas Tree","Brenda Lee","adult standards",141,64,68,22,83,126,57,4,79,"australia"
"191","2000 Miles - 2007 Remaster","Pretenders","album rock",66,71,22,10,45,220,0,4,78,"australia"
"192","Sleigh Ride","The Ronettes","adult standards",92,77,53,32,85,181,40,3,77,"australia"
"193","Jingle Bells (feat. The Puppini Sisters)","Michael Bubl�","adult standards",123,58,71,14,83,162,70,6,75,"australia"
"194","Mary's Boy Child / Oh My Lord","Boney M.","disco",113,72,78,20,93,241,28,4,75,"australia"
"195","Santa Claus Is Coming to Town","Michael Bubl�","adult standards",123,40,59,4,42,172,79,5,75,"australia"
"196","White Christmas (with Shania Twain)","Michael Bubl�","adult standards",127,49,61,13,64,218,44,4,73,"australia"
"197","Have Yourself A Merry Little Christmas","Ella Fitzgerald","adult standards",112,25,61,22,48,176,96,4,73,"australia"
"198","Merry Christmas Everyone","Shakin' Stevens","new wave pop",102,71,76,8,96,224,16,3,69,"australia"
"199","8 Days of Christmas","Destiny's Child","dance pop",100,84,69,6,64,210,5,19,67,"australia"
"200","How to Make Gravy","Paul Kelly","australian alternative rock",95,72,40,25,39,269,6,4,45,"australia"
"201","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"belgium"
"202","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"belgium"
"203","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"belgium"
"204","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"belgium"
"205","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"belgium"
"206","everything i wanted","Billie Eilish","electropop",120,23,70,11,24,245,90,10,98,"belgium"
"207","Don't Start Now","Dua Lipa","dance pop",124,79,79,10,68,183,1,8,97,"belgium"
"208","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"belgium"
"209","Someone You Loved","Lewis Capaldi","pop",110,41,50,11,45,182,75,3,96,"belgium"
"210","bad guy","Billie Eilish","electropop",135,43,70,10,56,194,33,38,96,"belgium"
"211","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"belgium"
"212","Ride It","Regard","pop edm",118,75,88,11,88,158,18,9,95,"belgium"
"213","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"belgium"
"214","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"belgium"
"215","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"belgium"
"216","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"belgium"
"217","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"belgium"
